序号,生产企业名称,车辆型号,通用名称,纯电动续驶里程(km),整车整备质量(kg),动力蓄电池组总质量(kg),动力蓄电池组总能量(kWh),备注,批次
44 ,中恒天智骏(赣州)汽车有限公司,ZHT7000KB00EV,GC2,368,1050/1035,233,36, ,201927
45 ,中恒天智骏(赣州)汽车有限公司,ZHT7000KD00EV,GC1,338,1130,233,36, ,201927
46 ,中恒天智骏(赣州)汽车有限公司,ZHT7000KD01EV,GC1,288,1118,226,30, ,201927
47 ,中恒天智骏(赣州)汽车有限公司,ZHT7000SU00EV,GX5,338,1450,330,46, ,201927
48 ,江苏九龙汽车制造有限公司,HKL6320BEV3,纯电动多用途乘用车,255,1110,213±3,27, ,201927
49 ,江苏卡威汽车工业集团股份有限公司,JNQ6451BEV,EV6,280,1640,320,42, ,201927
50 ,华晨鑫源重庆汽车有限公司,JKC6420FXBEV,X30EV,255,1360,251±7,35, ,201927
51 ,华晨鑫源重庆汽车有限公司,JKC6421FXBEV,X30EV,255,1360/1338,251±7,35, ,201927
52 ,华晨鑫源重庆汽车有限公司,JKC6451FXBEV,X30LEV,277,1610,308,42, ,201927
53 ,江西江铃集团新能源汽车有限公司,JX7001ESKBEV,易至EV3,401,1140,260,41, ,201927
54 ,浙江合众新能源汽车有限公司,THZ7000BEVS00D,哪吒N01,301,1181,249,35, ,201927
55 ,浙江合众新能源汽车有限公司,THZ7001BEVS008,哪吒N01,351,1216,274,37, ,201927
56 ,浙江合众新能源汽车有限公司,THZ7001BEVS00B,哪吒N01,330,1169,226,36, ,201927
57 ,奇瑞新能源汽车股份有限公司,NEQ7000BEVJ60B,ARRIZO5 e/ARRIZO e,401,1520,348,54, ,201927
58 ,奇瑞新能源汽车股份有限公司,NEQ7000BEVJ72F,eQ1,301,965/975,226,31, ,201927
59 ,奇瑞新能源汽车股份有限公司,NEQ7000BEVJ72G,eQ1,301,950/975,219,31, ,201927
60 ,河南速达电动汽车科技有限公司,SDE7001BCGBEV,SD01,305,1390,317,45, ,201927
61 ,奥迪(中国)企业管理有限公司,ETRON 55 GEXBM1JQ6A0,奥迪 E 创,470,2630,685,95, ,201927
62 ,中国第一汽车集团有限公司,CA7003BEVA,奔腾B30EV400,402,1463,318,51,,201926
63 ,北京奔驰汽车有限公司,BJ6480LABEV,EQC 400 4MATIC,415,2485,634,79,,201926
64 ,北京奔驰汽车有限公司,BJ6480LABEV3,EQC 400 4MATIC,408,2485,634,79,,201926
65 ,四川野马汽车股份有限公司,SQJ6450C5BEV,C10E,410,1510,319,51,,201926
66 ,四川野马汽车股份有限公司,SQJ7001EK1BEV,雷丁i5,255,1010,181,26,,201926
67 ,四川野马汽车股份有限公司,SQJ7001SC1BEV,雷丁i3,160,830,128,15,,201926
68 ,四川野马汽车股份有限公司,SQJ7001SC3BEV,比德文E3,160,830,128,15,,201926
69 ,成都大运汽车集团有限公司,CGC6481BEV2P1,驰虎EM6,405,2050,526,74,,201926
70 ,成都大运汽车集团有限公司,CGC6371BEV2S2,帅虎ES3,301,1250,236±5,39,,201926
71 ,比亚迪汽车有限公司,BYD7005BEV12,比亚迪e5,405,1650,347,53,,201926
72 ,比亚迪汽车有限公司,BYD7005BEVA6,比亚迪e5,400,1520,347,53,,201926
73 ,比亚迪汽车有限公司,BYD7005BEVA7,比亚迪秦,400,1520,347,53,,201926
74 ,北京现代汽车有限公司,BH7000BEVCAA,LAFESTA,490,1603,426,57,,201926
75 ,海马汽车有限公司,HMA7001DCBEV,G3,401,1578,322,51,,201926
76 ,南京金龙客车制造有限公司,NJL6420EV2,创业者,276,1400,238,38,,201926
77 ,长城汽车股份有限公司,CC7000ZM02CBEV,欧拉R1,301,977,193±5,29,,201926
78 ,长城汽车股份有限公司,CC7001ZM00BBEV,欧拉R2,305,977,182±5,29,,201926
79 ,江西江铃集团新能源汽车有限公司,JX7001ESHBEV,易至EV3,302,1120,203,31,,201926
80 ,江西江铃集团新能源汽车有限公司,JX7001ESJBEV,易至EV3,302,1120,208,31,,201926
81 ,江西江铃集团新能源汽车有限公司,JX7002ESEBEV,E180,252,1005,175,26,,201926
82 ,江西江铃集团新能源汽车有限公司,JX7002ESFBEV,易至EV2,252,1005,170,26,,201926
83 ,浙江合众新能源汽车有限公司,THZ7000BEVS007,哪吒N01,301,1169,234,33,,201926
84 ,奇瑞新能源汽车技术有限公司,NEQ7000BEVJ72D,eQ1,301,965/975,224,31,,201926
85 ,奇瑞新能源汽车技术有限公司,NEQ7000BEVJ72E,eQ1,301,965/975,224,31,,201926
86 ,重庆金康新能源汽车有限公司,SKE7000BEVF5,金康汽车风光E3,405,1690,350±10,53,,201926
87 ,重庆金康新能源汽车有限公司,SKE7000BEVF6,金康汽车风光E3,405,1690,370±10,54,,201926
88 ,国能新能源汽车有限责任公司,GNE7001AFCDEV,93,355,1675,346,46,,201926
89 ,山东国金汽车制造有限公司,SGA6460BEV,国金GM3,350,1880,450,55,,201926
90 ,山东国金汽车制造有限公司,SGA6460BEV1,国金GM3,450,1880,454,64,,201926
91 ,一汽-大众汽车有限公司,FV70010BABEV,Q2L,265,1610,317,40,,201926
92 ,一汽-大众汽车有限公司,FV7002BABEV,e-BORA,270,1560,318,40,,201926
93 ,一汽-大众汽车有限公司,FV7004BABEV,e-GOLF,270,1580,317,40,,201926
94 ,东风小康汽车有限公司,DXK7000KD1BEV,东风风光,405,1690,370±10,54,,201926
95 ,东风小康汽车有限公司,DXK7000KDBEV,东风风光,405,1690,350±10,53,,201926
96 ,东风汽车集团有限公司,DFA7000C1A2BEV,EV30,255,1250,227,32,,201926
97 ,东风汽车集团有限公司,DFA7000C1A3BEV,EV30,255,1280,227,32,,201926
98 ,威马汽车制造温州有限公司,SZS6480A03BEV,EX6 PLUS,408,1838,400,55,,201926
99 ,上汽大众汽车有限公司,SVW7003AEV,e-LAVIDA,278,1560,318,40,,201926
100 ,安徽江淮汽车集团股份有限公司,HFC6483ECEV4-W,ES6,430,2345,505,70,,201926
101 ,东南(福建)汽车工业有限公司,DN7007GBEV4,DX3 e500,451,1685,437,70,,201926
102 ,福建省汽车工业集团云度新能源汽车股份有限公司,YDE7000BEV2N,π3Pro,401,1440,323,50,,201926
103 ,上汽通用汽车有限公司,SGM7008LHBEV,VELITE 6,410,1675,382,53,,201926
104 ,江西大乘汽车有限公司,JML6451BEV02,G60E,300,1710,367,50,,201926
105 ,比亚迪汽车工业有限公司,BYD7002BEV4,比亚迪e2,305,1260,231,35,,201926
106 ,比亚迪汽车工业有限公司,BYD7002BEVA,比亚迪e3,305,1255,220,35,,201926
107 ,比亚迪汽车工业有限公司,BYD7002BEVA2,比亚迪e3,405,1330,300,47,,201926
108 ,比亚迪汽车工业有限公司,BYD7002BEVA3,比亚迪e3,405,1330,300,47,,201926
109 ,湖南江南汽车制造有限公司,JNJ7000EVD,T100EV,255,1060,201,28,,201926
110 ,湖南江南汽车制造有限公司,JNJ7000EVX27,云100S/云100plus/众泰云EV/众泰云,105,915,98,12,,201926
111 ,广汽乘用车(杭州)有限公司,GAH7000BEVH0C,传祺GE3,410,1567/1553,295,48,,201926
112 ,广汽乘用车(杭州)有限公司,GAH7000BEVH0D,传祺GE3,410,1581/1595,295,48,,201926
113 ,广汽乘用车有限公司,GAM6480BEVB0B,传祺AION LX,520,1900,425,73,,201926
114 ,广汽乘用车有限公司,GAM6480BEVB0C,传祺AION LX,650,2040,528,93,,201926
115 ,广汽乘用车有限公司,GAM7000BEVA0F,传祺AION.S,410,1575,310,48,,201926
116 ,广汽乘用车有限公司,GAM7000BEVA0G,传祺AION.S,410,1610,340,49,,201926
117 ,广汽丰田汽车有限公司,GTM70002BEV,iA5,510,1625,354,59,,201926
118 ,东风柳州汽车有限公司,LZ7004SLAEV,景逸S50EV/风行S50EV,401,1600,359,50,,201926
119 ,上汽通用五菱汽车股份有限公司,LZW7001EVACP,宝骏E100,250,840,167,24,,201926
120 ,上汽通用五菱汽车股份有限公司,LZW7001EVAHW,宝骏E100,250,849,198,25,,201926
121 ,上汽通用五菱汽车股份有限公司,LZW7001EVBED,宝骏E100,100,720,114,12,,201926
122 ,上汽通用五菱汽车股份有限公司,LZW7002EVCEP,宝骏E200,250,842,176,24,,201926
123 ,上汽通用五菱汽车股份有限公司,LZW7002EVCHW,宝骏E200,250,846,198,25,,201926
124 ,重庆长安汽车股份有限公司,SC6458FBABEV,长行EV,403,1560,338,54,,201926
125 ,重庆长安汽车股份有限公司,SC7003AAABEV,逸动EV520,521,1650,370,61,,201926
126 ,重庆长安汽车股份有限公司,SC7003AABBEV,逸动EV460,405,1650,355,53,,201926
127 ,重庆长安汽车股份有限公司,SC7003AAEBEV,逸动ET,405,1650,355,53,,201926
128 ,重庆长安汽车股份有限公司,SC7003ACABEV,逸动EV520,505,1650,370,61,,201926
129 ,特斯拉汽车(北京)有限公司,E3D5,Model 3长续航全轮驱动版,590,1874,475,78,,201926
130 ,特斯拉汽车(北京)有限公司,E3DP5,Model 3高性能全轮驱动版,595,1875,475,78,,201926
131 ,特斯拉汽车(北京)有限公司,E3R5,Model 3长续航后轮驱动版,664,1753,475,78,,201926
132 ,特斯拉汽车(北京)有限公司,S100D5,Model S 长续航版,660,2260,625,100,,201926
133 ,特斯拉汽车(北京)有限公司,S75D5,Model S 标准续航版,490,2130,530,74,,201926
134 ,特斯拉汽车(北京)有限公司,SP100D5,Model S 高性能版,654,2292,625,100,,201926
135 ,特斯拉汽车(北京)有限公司,X100D5,Model X 长续航版,576,2491,625,100,,201926
136 ,特斯拉汽车(北京)有限公司,X100D6,Model X 长续航版,576,2491,625,100,,201926
137 ,特斯拉汽车(北京)有限公司,X100D7,Model X 长续航版,576,2459,625,100,,201926
138 ,特斯拉汽车(北京)有限公司,X75D5,Model X 标准续航版,425,2387,530,74,,201926
139 ,特斯拉汽车(北京)有限公司,X75D6,Model X 标准续航版,425,2387,530,74,,201926
140 ,特斯拉汽车(北京)有限公司,X75D7,Model X 标准续航版,425,2387,530,74,,201926
141 ,特斯拉汽车(北京)有限公司,XP100D5,Model X 高性能版,552,2530,625,100,,201926
142 ,特斯拉汽车(北京)有限公司,XP100D6,Model X 高性能版,552,2530,625,100,,201926
143 ,特斯拉汽车(北京)有限公司,XP100D7,Model X 高性能版,552,2530,625,100,,201926
144 ,特斯拉汽车(北京)有限公司,E1R5,Model 3 标准续航升级版,480,1614,345,53,,201926
145 ,安徽江淮汽车股份有限公司,HFC7000AEV,和悦 iEV,152,1200,223,19,,201401
146 ,北京汽车股份有限公司,BJ7000B3D1-BEV,EV200,160,1370,285,26,,201401
147 ,北京汽车股份有限公司,BJ7000C7H1-BEV,绅宝 EV,170,1760,375,38,,201401
148 ,北京汽车股份有限公司,BJ7000C7H3-BEV,绅宝 EV,170,1760,341,38,,201401
149 ,北京汽车股份有限公司,BJ5021XXYV3R1-BEV,威旺 307EV,150,1640,454,38,,201401
150 ,比亚迪汽车工业有限公司,QCJ7006BEVF,比亚迪 e6,322,2360/2380,750,63,,201401
151 ,比亚迪汽车工业有限公司,QCJ7007BEV,腾势,253,2090,550,48,,201401
152 ,东风汽车有限公司,DFL7000B2BEV,启辰 e30,175,1494,273,24,,201401
153 ,东南(福建)汽车工业有限公司,DN7000MBEV,V3 菱悦纯电动轿车,80,1330,260,20,,201401
154 ,奇瑞汽车股份有限公司,SQR7000BEVS184,瑞麒 M1 EV,80,1060,235,15,,201401
155 ,奇瑞汽车股份有限公司,SQR7000BEVJ00,奇瑞 eQ,151,1128,256,22,,201401
156 ,上海汽车集团股份有限公司,CSA7000BEV,荣威 E50,120,1080,235,18,,201401
157 ,上海通用汽车有限公司,SGM7001EV,Springo,152,1385,265,21,,201401
158 ,四川汽车工业股份有限公司,SQJ6452BEV,-,120/200,1630,500/550,32/45,,201401
159 ,浙江吉利汽车有限公司,SMA7000BEV,康迪纯电动轿车,150,1160,300/310,21,,201401
160 ,浙江吉利汽车有限公司,SMA7001BEV,康迪纯电动轿车,150,1200,300/310,21,,201401
161 ,重庆长安汽车股份有限公司,SC7005EV,E30,120,1610,380,32/29,,201401
